Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Camptothecin","1003","TOP1","DNA replication","ARID1A_mut","4","58",".17796758044127017","-1.3152822133242483","-1.5822004782612964","","",".6197977062057185",".26691826493704807",".91519583483831524","1.5243852256953332",".73185296964936575","","","64.451675678683188","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","EGFR_mut","6","56",".35238097995584416","-1.0898057782506989","-1.6158914629097854","","",".27549294573186972",".52608568465908645",".97927151464202145","1.5311217299835855",".41527767773583546","","","58.515614090354241","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","KDR_mut","3","59",".89266540065122391","-2.8167774730244179","-1.5013292232776088","","",".24438372080490411","-1.3154482497468092","1.4125109293100151","1.4756805266301258",".13673300895699689","","","44.216235267299616","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","KRAS_mut","21","41",".15159913267895447","-1.7150875773704257","-1.4880955479920299","","",".57818564486356983","-.2269920293783958","1.5204491099195017","1.4856165886992803",".57422074897293618","","","59.40214644547617","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","MGA_mut","3","59",".15453542773906667","-1.3443280412351821","-1.5761995333685868","","",".83113173503891369",".23187149213340463","1.6394219450490906","1.4954195382575364",".79490400003709238","","","64.451675678683188","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","NF1_mut","3","59",".071789662289811304","-1.6675297619214833","-1.5597655475709784","","",".9374971062093983","-.10776421435050487","2.093062900169278","1.4764714204306477",".9038605307803711","","","66.136136398563764","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","RB1_mut","3","59","1.1460777235074873","-3.1534405795219573","-1.4842107602353611","","",".047114265858781985","-1.6692298192865962",".78034536589250292","1.4742661439534301",".057527420199315733","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","RBM10_mut","3","59",".72209734128987835","-.54591855017459379","-1.6167966261343794","","",".39121592425472085","1.0708780759597856","1.7080896138552406","1.4746367293413787",".22721032270368746","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","SMARCA4_mut","13","49",".29009836305954834","-1.2232298509481185","-1.6556483373495232","","",".38288558046408305",".43241848640140468","1.5700032712773773","1.4700698877833847",".35616798128352056","","","53.425197192528096","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","STK11_mut","11","51",".33065444899638474","-1.9699916945787772","-1.4776244696487377","","",".29999951593574592","-.49236722493003948","1.3521741663923477","1.5149640552439978",".32391244815463005","","","51.144070761257389","LUAD","GDSC2"
