drug_name,drug_id,drug_target,target_pathway,feature_name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,tissue_type,screening_set
Camptothecin,1003,TOP1,DNA replication,ARID1A_mut,4,58,0.17796758044127017,-1.3152822133242483,-1.5822004782612964,,,0.6197977062057185,0.26691826493704807,0.9151958348383152,1.5243852256953332,0.7318529696493657,,,64.45167567868319,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,EGFR_mut,6,56,0.35238097995584416,-1.089805778250699,-1.6158914629097854,,,0.27549294573186967,0.5260856846590864,0.9792715146420214,1.5311217299835855,0.41527767773583546,,,58.51561409035424,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,KDR_mut,3,59,0.8926654006512238,-2.8167774730244175,-1.5013292232776088,,,0.2443837208049041,-1.3154482497468092,1.412510929310015,1.4756805266301258,0.1367330089569969,,,44.216235267299616,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,KRAS_mut,21,41,0.15159913267895447,-1.7150875773704255,-1.48809554799203,,,0.5781856448635697,-0.2269920293783958,1.5204491099195017,1.4856165886992805,0.5742207489729362,,,59.40214644547617,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,MGA_mut,3,59,0.15453542773906667,-1.344328041235182,-1.5761995333685868,,,0.8311317350389138,0.23187149213340463,1.6394219450490906,1.4954195382575364,0.7949040000370925,,,64.45167567868319,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,NF1_mut,3,59,0.0717896622898113,-1.6675297619214833,-1.5597655475709784,,,0.9374971062093984,-0.10776421435050489,2.093062900169278,1.4764714204306475,0.9038605307803712,,,66.13613639856376,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,RB1_mut,3,59,1.1460777235074873,-3.1534405795219573,-1.4842107602353611,,,0.04711426585878198,-1.6692298192865962,0.7803453658925029,1.47426614395343,0.05752742019931573,,,37.16866656226912,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,RBM10_mut,3,59,0.7220973412898782,-0.5459185501745938,-1.6167966261343794,,,0.3912159242547209,1.0708780759597856,1.7080896138552406,1.474636729341379,0.22721032270368743,,,46.263287078550505,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,SMARCA4_mut,13,49,0.29009836305954834,-1.2232298509481183,-1.6556483373495232,,,0.3828855804640831,0.43241848640140473,1.5700032712773773,1.4700698877833849,0.35616798128352056,,,53.425197192528096,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,STK11_mut,11,51,0.33065444899638474,-1.9699916945787768,-1.4776244696487375,,,0.2999995159357459,-0.4923672249300394,1.3521741663923477,1.5149640552439978,0.32391244815463005,,,51.14407076125738,LUAD,GDSC2
Camptothecin,1003,TOP1,DNA replication,SVEP1_mut,3,59,0.9819549193185289,-0.19322333694985416,-1.634730281044112,,,0.2639373594126403,1.4415069440942578,1.6352482977658118,1.461888538845708,0.10230699282315832,,,38.365122308684384,LUAD,GDSC2
